Verb,Frequency
说,61118
进行,32627
有,32468
表示,8536
产生,7641
感到,6428
没有,5790
作,4986
提出,4819
做,4606
是,4211
说道,3767
作出,3712
造成,3453
实行,3435
讲,3331
笑,3161
采取,3025
负责,2843
起,2836
充满,2585
说话,2498
了解,2154
有着,1922
抱,1919
给予,1839
没,1756
实施,1667
道,1656
具有,1642
满意,1630
做出,1583
毫无,1484
发动,1462
爱,1425
看,1418
构成,1343
无,1297
有所,1273
熟悉,1252
影响,1222
关心,1198
重视,1198
存,1084
怀,1076
形成,1068
感,1046
发生,1041
解释,1023
微笑,1016
持,922
缺乏,919
失去,899
发表,896
表现,869
予以,858
带来,825
下,819
提供,814
要求,795
开放,772
发出,767
信任,764
谈,747
好,736
负,736
展开,714
露出,704
下手,687
动武,670
保持,640
提起,630
施加,623
生,618
投,602
喊,595
认识,552
尊重,544
评价,544
提,542
加强,539
还有,511
理解,504
知道,496
寄予,496
有利,489
吼,485
尊敬,483
叫,472
怀着,472
施,469
交代,468
说明,465
隐瞒,464
不利,464
眨,461
照顾,461
使用,460
注意,451
发,446
使,445
开展,432
存在,430
重要,429
感激,425
关注,425
笑笑,423
付出,417
放心,414
动,413
负有,408
敬,401
支持,395
加以,384
承担,380
来,378
想,365
觉得,361
不满,357
研究,352
点头,344
反应,343
犯,342
喊道,340
知,338
打,335
打击,333
尽,326
佩服,322
恨,310
用,308
伸出,307
说谎,297
在意,297
死心,293
处理,293
开,291
出手,287
访问,285
动心,282
宣布,281
深感,279
迷恋,277
动手,274
怀疑,269
着迷,267
一无所知,266
望,264
具,263
发脾气,262
崇拜,261
喜欢,260
点点,258
承认,256
发起,256
加,256
厌恶,255
投入,255
不忠,253
帮助,253
热爱,249
发誓,246
发挥,238
不理不睬,236
显得,235
同情,233
有意,232
透露,231
摇头,230
变,226
耳语,226
表达,224
担心,224
厌倦,222
挥,221
抱持,221
拥有,221
行,220
调查,219
介绍,219
宽容,216
坚持,215
摆,215
言听计从,212
讲述,211
分析,211
开战,209
意味着,208
估计,207
抓,207
倾心,206
处,206
撒谎,205
喝,204
留下,203
称,201
许,200
敬重,197
客气,196
认真,196
诉说,194
投资,192
欣赏,191
问,191
体贴,189
摇摇,188
嚷,188
干,188
做到,187
问道,186
控制,186
保证,184
回答,184
吼道,183
真心,177
抱怨,175
无动于衷,175
像,171
不予,170
引起,169
增加,169
坦白,169
算,168
承诺,168
反映,168
敏感,168
赞赏,166
批评,166
看重,165
保护,165
出口,164
热情,162
执行,162
考虑,162
点点头,161
持有,161
丧失,161
观察,160
施行,160
看好,159
搞,158
开始,158
忠诚,158
征收,157
不在乎,156
倾诉,156
大,156
采用,156
开口,154
挥手,154
检查,154
摇,153
敞开,153
说说,153
发火,152
没什么,152
