Verb,Function,Level_1,Level_2,Level_3,
说,对象,社会活动,社交,说话,
,范围,社会活动,社交,说话,
进行,对象,运动与变化,事态变化,进行,
有,关涉,运动与变化,判断,有无,
,对待,运动与变化,判断,有无,
表示,对象,社会活动,社交,表达,
,范围,社会活动,社交,表达,
产生,对待,运动与变化,事态变化,出现,
感到,对待,生物活动,心理活动,主张,
没有,关涉,运动与变化,判断,有无,
,对待,运动与变化,判断,有无,
作,对象,生物活动,生活工作,参与,
,,社会活动,管理,处理,
,,社会活动,文教,写作,
,,运动与变化,事态变化,出现,
,,运动与变化,判断,是作,
提出,对象,社会活动,社交,说话,
,范围,社会活动,社交,说话,
做,对象,生物活动,生活工作,就业,
,,生物活动,生活工作,参与,
,,社会活动,管理,处理,
,,社会活动,生产,建造,
,,社会活动,文教,写作,
是,关涉,运动与变化,判断,是作,
,,运动与变化,判断,有无,
说道,对象,社会活动,社交,说话,
作出,对象,社会活动,管理,处理,
造成,对象,运动与变化,判断,导致,
实行,对象,运动与变化,事态变化,进行,
讲,对象,社会活动,社交,说话,
笑,对象,生物活动,表情,哭笑,
采取,对象,生物活动,生活工作,使用,
,范围,生物活动,生活工作,使用,
负责,对象,生物活动,生活工作,参与,
,,社会活动,管理,掌控,
起,对待,运动与变化,事态变化,已然,
充满,对待,运动与变化,判断,包含,
说话,对象,社会活动,社交,说话,
了解,对待,生物活动,心理活动,了解,
,范围,社会活动,社交,表达,
有着,对待,运动与变化,判断,有无,
抱,对待,运动与变化,判断,包含,
没,对待,运动与变化,判断,有无,
,关涉,运动与变化,判断,有无,
实施,对象,生物活动,生活工作,参与,
道,对象,社会活动,社交,说话,
具有,对待,运动与变化,判断,有无,
满意,对待,生物活动,心理活动,高兴,
做出,对象,社会活动,管理,处理,
毫无,对待,运动与变化,判断,有无,
,关涉,运动与变化,判断,有无,
发动,对象,社会活动,管理,宣传,
爱,对待,生物活动,心理活动,喜欢、爱护,
看,对象,生物活动,头部动作,看听嗅,
构成,关涉,运动与变化,方位变化,结合,
无,对待,运动与变化,判断,有无,
,关涉,运动与变化,判断,有无,
有所,对待,运动与变化,判断,有无,
,关涉,运动与变化,判断,有无,
熟悉,对待,性质与状态,性质,亲疏,
影响,关涉,运动与变化,判断,导致,
关心,对待,生物活动,心理活动,爱护、关注,
重视,对待,生物活动,心理活动,关注,
存,对待,运动与变化,判断,包含,
怀,对待,运动与变化,判断,包含,
形成,对象,运动与变化,事态变化,出现,
感,对待,生物活动,心理活动,激动,
发生,对待,运动与变化,事态变化,出现,
解释,对象,社会活动,文教,研究,
微笑,对象,生物活动,表情,哭笑,
持,对待,生物活动,肢体动作,拿掀,
缺乏,对待,性质与状态,性状,多少,
失去,对待,运动与变化,事态变化,消失,
发表,对象,社会活动,管理,宣布,
,范围,社会活动,管理,宣布,
表现,对待,运动与变化,判断,显示,
予以,对象,运动与变化,判断,导致,
带来,对象,运动与变化,判断,导致,
下,对象,生物活动,生活工作,使用,
提供,对象,社会活动,帮助,取予,
要求,对象,生物活动,心理活动,希望,
开放,对象,社会活动,管理,改革,
发出,对象,运动与变化,事态变化,出现,
信任,对待,生物活动,心理活动,相信怀疑,
谈,对象,社会活动,社交,说话,
,范围,社会活动,社交,说话,
好,对待,生物活动,心理活动,喜欢,
,关涉,运动与变化,判断,有利,
负,对象,生物活动,生活工作,参与,
展开,对象,运动与变化,事态变化,进行,
露出,对象,运动与变化,事态变化,出现,
下手,对象,生物活动,生活工作,参与,
动武,对象,社会活动,战争,进攻,
,,社会活动,争斗,动武,
保持,对待,运动与变化,判断,有无,
提起,对象,社会活动,社交,说话,
施加,对象,运动与变化,判断,导致,
生,对待,运动与变化,事态变化,出现,
投,对象,生物活动,头部动作,看听嗅,
喊,对象,生物活动,头部动作,叫喊,
认识,对待,生物活动,心理活动,了解,
尊重,对待,生物活动,心理活动,反对赞成,
评价,对象,社会活动,管理,调查考评,
提,对象,社会活动,社交,说话,
,范围,社会活动,社交,说话,
,对待,生物活动,心理活动,喜欢,
加强,对象,运动与变化,数量变化,增加,
理解,对待,生物活动,心理活动,了解,
知道,对待,生物活动,心理活动,了解,
寄予,对象,运动与变化,判断,导致,
有利,关涉,运动与变化,判断,有利,
吼,对象,生物活动,头部动作,叫喊,
尊敬,对待,生物活动,心理活动,反对赞成,
叫,对象,生物活动,头部动作,叫喊,
怀着,对待,运动与变化,判断,包含,
施,对象,运动与变化,判断,导致,
交代,对象,社会活动,社交,表达,
说明,对象,社会活动,文教,研究,
隐瞒,对象,社会活动,争斗,欺负瞒骗,
不利,关涉,运动与变化,判断,有害,
眨,对象,生物活动,头部动作,眼动,
照顾,对象,社会活动,帮助,照顾,
使用,对象,生物活动,生活工作,使用,
注意,对待,生物活动,心理活动,关注,
发,对象,社会活动,帮助,赠送,
,,生物活动,心理活动,愤怒,
,,社会活动,社交,通讯,
使,对象,生物活动,生活工作,使用,
开展,对象,运动与变化,事态变化,进行,
存在,对待,运动与变化,判断,有无,
,关涉,运动与变化,判断,有无,
重要,关涉,性质与状态,性质,主次,
感激,对待,社会活动,社交,感谢道歉,
关注,对象,生物活动,心理活动,关注,
付出,对象,社会活动,经贸,出纳,
放心,对待,生物活动,心理活动,安心,
动,对象,生物活动,肢体动作,按触,
,,生物活动,生活工作,使用,
负有,对待,运动与变化,判断,有无,
敬,对象,生物活动,全身动作,行礼,
,,生物活动,心理活动,反对赞成,
,,社会活动,帮助,赠送,
,,性质与状态,才品,谦傲,
支持,对象,社会活动,帮助,帮助,
加以,对象,运动与变化,判断,导致,
承担,对待,生物活动,生活工作,参与,
来,对象,社会活动,管理,处理,
想,对待,生物活动,心理活动,思考,
觉得,范围,生物活动,心理活动,主张,
不满,对待,生物活动,心理活动,悲伤,
研究,对象,生物活动,心理活动,思考,
,,社会活动,文教,研究,
点,对象,生物活动,头部动作,头动,
反应,对待,社会活动,社交,表达,
犯,对象,社会活动,争斗,侵害,
喊道,对象,社会活动,社交,说话,
知,对待,生物活动,心理活动,了解,
打,对象,社会活动,斗争,动武,
,,社会活动,社交,表达,
,,生物活动,心理活动,思考,
打击,对象,社会活动,战争,进攻,
尽,对象,生物活动,生活工作,参与,
佩服,对待,生物活动,心理活动,反对赞成,
恨,对待,生物活动,心理活动,厌恶,
用,对象,生物活动,生活工作,使用,
伸出,对象,运动与变化,方位变化,伸缩,
说谎,对象,社会活动,争斗,欺负瞒骗,
在意,对待,生物活动,心理活动,关注,
,,生物活动,心理活动,愿意,
死心,对待,生物活动,心理活动,悲伤,
处理,对象,社会活动,管理,处理,
开,对象,生物活动,肢体动作,按触,
,,社会活动,战争,火力攻击,开枪
,,社会活动,斗争,欺负瞒骗,开玩笑
,,社会活动,管理,奖惩,开罚单
,,社会活动,经贸,买卖,开口
出手,对象,社会活动,经贸,买卖,
访问,对象,社会活动,社交,交际,
动心,对待,生物活动,心理活动,喜欢,
宣布,对象,社会活动,管理,宣布,
深感,对待,生物活动,心理活动,主张,
迷恋,对待,生物活动,心理活动,沉迷,
动手,对象,社会活动,争斗,动武,
怀疑,对待,生物活动,心理活动,相信怀疑,
着迷,对待,生物活动,心理活动,沉迷,
一无所知,对待,生物活动,心理活动,沉迷,
望,对象,生物活动,头部动作,看听嗅,
具,关涉,运动与变化,判断,有无,
发脾气,对象,生物活动,心理活动,愤怒,
崇拜,对待,生物活动,心理活动,反对赞成,
喜欢,对待,生物活动,心理活动,喜欢,
承认,对象,社会活动,社交,表达,
发起,对象,社会活动,管理,宣传,
加,对象,运动与变化,数量变化,增加,
,,运动与变化,判断,导致,
厌恶,对待,生物活动,心理活动,厌恶,
投入,对象,生物活动,生活工作,走动,
帮助,关涉,社会活动,帮助,帮助,
热爱,对象,生物活动,心理活动,喜欢,
发誓,对象,生物活动,心理活动,犹豫决意,
发挥,对象,运动与变化,事态变化,出现,
不理不睬,对象,生物活动,心理活动,忽视,
显得,关涉,运动与变化,判断,显示,
同情,对待,生物活动,心理活动,爱护,
,,生物活动,心理活动,反对赞成,
有意,对待,生物活动,心理活动,喜欢,
透露,对象,社会活动,社交,表达,
摇头,对象,生物活动,头部动作,头动,
变,对待,运动与变化,物态变化,变化,
,关涉,运动与变化,物态变化,变化,
耳语,对象,社会活动,社交,说话,
表达,对象,社会活动,社交,表达,
,范围,社会活动,社交,表达,
担心,对待,生物活动,心理活动,悲伤,
厌倦,对待,生物活动,心理活动,厌恶,
挥,对象,生物活动,肢体动作,摆弄,
抱持,对待,运动与变化,判断,有无,
拥有,范围,运动与变化,判断,有无,
行,对象,生物活动,全身动作,行礼,
,关涉,性质与状态,性质,利弊,
调查,范围,社会活动,管理,调查考评,
介绍,对象,社会活动,社交,介绍,
宽容,对待,生物活动,心理活动,爱护,
坚持,对待,生物活动,心理活动,主张,
摆,对象,生物活动,肢体动作,摆弄,
,,生物活动,生活工作,惹事,
言听计从,对待,性质与状态,才品,刚柔,
讲述,对象,社会活动,社交,表达,
分析,对象,社会活动,文教,研究,
开战,对象,社会活动,战争,进攻,
意味,关涉,运动与变化,判断,显示,
估计,对待,生物活动,心理活动,估测,
抓,范围,生物活动,肢体动作,拿掀,
,,生物活动,生活工作,参与,
,,社会活动,司法,逮捕,
倾心,对待,生物活动,心理活动,喜欢,
处,对象,社会活动,司法,惩办,
撒谎,对象,社会活动,争斗,欺负瞒骗,
喝,对象,生物活动,头部动作,叫喊,
留下,范围,运动与变化,判断,有无,
称,对象,运动与变化,判断,是作,
许,对象,社会活动,帮助,协商,
敬重,对待,生物活动,心理活动,反对赞成,
客气,对待,性质与状态,才品,谦傲,
认真,对待,生物活动,心理活动,相信怀疑,
诉说,对象,社会活动,社交,说话,
投资,对象,社会活动,经贸,投资,
欣赏,对待,生物活动,生活工作,娱乐,
问,对象,社会活动,社交,表达,
体贴,对待,性质与状态,性质,亲疏,
嚷,对象,生物活动,头部动作,叫喊,
,,社会活动,争斗,辩说,
干,对象,生物活动,生活工作,参与,
做到,对待,运动与变化,事态变化,结束,
问道,对象,社会活动,社交,表达,
控制,对待,生物活动,心理活动,隐忍,
,,社会活动,管理,掌控,
保证,对象,生物活动,生活工作,参与,
回答,对象,社会活动,社交,表达,
吼道,对象,社会活动,社交,说话,
真心,对待,性质与状态,才品,诚伪,
抱怨,对象,生物活动,心理活动,厌恶,
无动于衷,对待,生物活动,心理活动,忽视,
像,对待,运动与变化,判断,相同,
不予,对待,运动与变化,判断,导致,
引起,对待,运动与变化,判断,导致,
增加,范围,运动与变化,数量变化,增加,
坦白,对待,社会活动,司法,诉讼,
算,关涉,生物活动,心理活动,估测,
承诺,对象,社会活动,帮助,协商,
反映,对象,社会活动,管理,批准,
,范围,运动与变化,判断,显示,
敏感,对待,性质与状态,性质,常异,
赞赏,对待,社会活动,社交,赞赏-祝贺-劝慰,
批评,对象,社会活动,社交,批评,
看重,对待,生物活动,心理活动,关注,
保护,对象,社会活动,帮助,照顾,
出口,对象,社会活动,经贸,贸易,
热情,对待,性质与状态,才品,谦傲,
执行,对象,运动与变化,事态变化,进行,
考虑,对待,生物活动,心理活动,思考,
持有,对待,运动与变化,判断,有无,
丧失,对待,运动与变化,事态变化,消失,
观察,对象,生物活动,生活工作,使用,
施行,对象,运动与变化,事态变化,进行,
看好,对待,运动与变化,判断,显示,
搞,对象,生物活动,生活工作,参与,
,对待,生物活动,心理活动,了解,
开始,对象,运动与变化,事态变化,开始,
忠诚,对待,性质与状态,才品,诚伪,
征收,对象,社会活动,经贸,投资,
倾诉,对象,社会活动,社交,说话,
大,关涉,性质与状态,形貌,大小,
采用,对象,生物活动,生活工作,使用,
开口,对象,社会活动,社交,说话,
检查,对象,社会活动,管理,调查考评,
摇,对象,生物活动,肢体动作,摆弄,
敞开,对象,生物活动,肢体动作,按触,
发火,对象,生物活动,心理活动,愤怒,
没什么,关涉,性质与状态,性质,主次,
适应,对待,运动与变化,判断,相配,
疼爱,对待,生物活动,心理活动,喜欢,
危害,关涉,运动与变化,判断,有害,
追求,对象,生物活动,心理活动,希望,
,对象,生物活动,生活工作,婚恋,
有益,关涉,运动与变化,判断,有利,
有用,关涉,性质与状态,性质,利弊,
威胁,对象,社会活动,争斗,侵害,
鞠躬,对象,生物活动,全身动作,行礼,
为,关涉,运动与变化,判断,是作,
把握,对象,社会活动,管理,掌控,
领导,对象,社会活动,管理,管理,
献,对象,社会活动,帮助,赠送,
表白,对象,社会活动,社交,表达,
冷淡,对待,生物活动,心理活动,忽视,
供认不讳,对待,社会活动,司法,诉讼,
不以为然,对待,生物活动,心理活动,反对赞成,
皱,对象,性质与状态,形貌,直曲,
视而不见,对待,生物活动,心理活动,忽视,
报以,对象,运动与变化,判断,导致,
宣战,对象,社会活动,战争,进攻,
害怕,对待,生物活动,心理活动,害怕,
接受,对象,社会活动,帮助,协商,
畏惧,对待,生物活动,心理活动,害怕,
招手,对象,生物活动,肢体动作,摆弄,
咆哮,对象,生物活动,头部动作,叫喊,
无害,关涉,运动与变化,判断,有害,
爱护,对待,生物活动,心理活动,爱护,
行使,对象,运动与变化,事态变化,进行,
倾注,对象,运动与变化,判断,导致,
取得,范围,运动与变化,事态变化,结束,
陌生,对待,性质与状态,性质,亲疏,
死心塌地,对待,性质与状态,才品,巧拙,
吐,对象,生物活动,头部动作,呼吸,
,对象,社会活动,社交,表达,
公平,关涉,性质与状态,才品,公私,
,对待,性质与状态,才品,公私,
下达,对象,社会活动,管理,宣布,
管理,对象,社会活动,管理,管理,
改变,对象,运动与变化,物态变化,变化,
吼叫,对象,生物活动,头部动作,叫喊,
要,对待,运动与变化,判断,需要,
提高,对象,运动与变化,数量变化,增加,
道歉,对象,社会活动,社交,感谢道歉,
渴望,对待,生物活动,心理活动,希望,
流露,对象,运动与变化,事态变化,出现,
感觉,对待,生物活动,心理活动,主张,
扮,对象,社会活动,文教,演出,
深表,对待,社会活动,社交,表达,
掌握,对象,社会活动,管理,掌控,
依赖,对待,运动与变化,判断,相关,
习惯,对待,生物活动,心理活动,喜欢,
出现,范围,运动与变化,事态变化,出现,
呵护,对待,社会活动,帮助,照顾,
期望,对待,生物活动,心理活动,希望,
吐露,对象,社会活动,社交,表达,
不服,对待,生物活动,心理活动,反对赞成,
瞪,对象,生物活动,头部动作,眼动,
表明,对象,社会活动,社交,表达,
出,对象,生物活动,肢体动作,拉扯,
,对象,社会活动,社交,说话,
,对象,社会活动,帮助,帮助,
相信,对待,生物活动,心理活动,相信怀疑,
反感,对待,生物活动,心理活动,厌恶,
