ID,Mode,Proficiency,Nationality,L1,Verb,Native_COLL,Native,Textbook,Textbook_COLL,Reliability,Accessibility,Functions,Semantics,Error,ErrorType
ABD_YE,S,NNS1,YE,AR,了解,Attracted,3.19,12.98,Attracted,Yes,2,Concerned,Psych,Error,preposition_misuse
RFM_VN,W,NNS1,VN,VN,好玩,Repelled,0.00,0.00,N/A,No,6,Concerned,Attribute,Error,preposition_misuse
OMLI_TH,W,NNS1,TH,TH,*,Attracted,105.53,385.55,Attracted,*,1,Target,Communication,Error,omission
WJS_RU,S,NNS1,RU,RU,是,Attracted,6.62,18.54,Repelled,Yes,1,Concerned,Functional,Error,word_order
OMLI_TH,W,NNS1,TH,TH,*,Attracted,105.53,385.55,Attracted,*,1,Target,Communication,Error,omission
OMLI_TH,W,NNS1,TH,TH,*,Attracted,105.53,385.55,Attracted,*,1,Target,Communication,Error,omission
ADL_YE,S,NNS1,YE,AR,*,Attracted,1.84,53.75,Attracted,Yes,2,Stimulus,Psych,Error,omission
AF_TG,S,NNS1,TG,EN,感,Attracted,1.84,53.75,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
JXJ_KR,S,NNS1,KR,KR,有,Attracted,4.49,77.85,Attracted,Yes,1,Stimulus,Functional,Error,insertion
LX_RU,S,NNS1,RU,RU,*,Attracted,19.49,87.12,Attracted,*,1,Concerned,Functional,Error,omission
RSHF_VN,S,NNS1,VN,VN,有意思,Attracted,19.49,87.12,Attracted,No,1,Concerned,Attribute,Error,preposition_misuse
NEE_KR,S,NNS1,KR,KR,送,Repelled,0.11,0.00,Repelled,No,1,Beneficiary,Social,Error,preposition_misuse
JXZU_KR,W,NNS1,KR,KR,有意思,Attracted,19.49,87.12,Attracted,No,1,Concerned,Attribute,Error,preposition_misuse
LX_RU,W,NNS1,RU,RU,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
JAN_RU,S,NNS1,RU,RU,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
AILAN_PK,S,NNS1,PK,Other,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
AXH_UZ,S,NNS1,UZ,TK,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
LMN_TH,S,NNS1,TH,TH,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
AIML_KZ,W,NNS1,KZ,TK,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Correct,Correct
XY_UZ,W,NNS1,UZ,TK,影响,Attracted,1.22,11.12,Attracted,Yes,2,Concerned,Functional,Correct,Correct
MWH_VE,W,NNS1,VE,ES,有,Attracted,19.49,87.12,Attracted,Yes,1,Concerned,Functional,Correct,Correct
DAN_PE,W,NNS1,PE,ES,有,Attracted,19.49,87.12,Attracted,Yes,1,Concerned,Functional,Correct,Correct
LBI_TG,W,NNS1,TG,EN,有,Attracted,19.49,87.12,Attracted,Yes,1,Concerned,Functional,Correct,Correct
ALUN_RU,W,NNS1,RU,RU,舒服,Repelled,0.01,0.00,Repelled,No,2,Concerned,Attribute,Error,preposition_misuse
JMJ_KR,S,NNS1,KR,KR,起,Attracted,4.87,3.71,Attracted,Yes,6,Concerned,Functional,Correct,Correct
LMN_TH,S,NNS1,TH,TH,辛苦,Repelled,0.00,0.00,Repelled,No,3,Concerned,Attribute,Error,preposition_misuse
XPP_TH,S,NNS1,TH,TH,一样,Repelled,0.21,0.00,Repelled,Yes,2,Target,Manner,Correct,Correct
RYS_VN,W,NNS1,VN,VN,一样,Repelled,0.21,0.00,Repelled,Yes,2,Target,Manner,Correct,Correct
JMJ_KR,S,NNS1,KR,KR,习惯,Repelled,0.22,1.85,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
ZZX_KR,W,NNS1,KR,KR,习惯,Repelled,0.22,1.85,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
OLY_RU,W,NNS1,RU,RU,习惯,Repelled,0.22,1.85,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
OMLI_TH,W,NNS1,TH,TH,习惯,Repelled,0.22,1.85,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
JAN_RU,S,NNS1,RU,RU,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
JXJ_KR,S,NNS1,KR,KR,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
LT_ES,S,NNS1,ES,ES,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
LX_RU,S,NNS1,RU,RU,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
HA_ES,S,NNS1,ES,ES,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
LZJ_KR,S,NNS1,KR,KR,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
PSB_KR,S,NNS1,KR,KR,了解,Attracted,3.19,12.98,Attracted,Yes,2,Theme,Psych,Correct,Correct
RFM_VN,S,NNS1,VN,VN,亲切,Attracted,0.08,1.85,Attracted,Yes,4,Target,Manner,Correct,Correct
YJG_RU,S,NNS1,RU,RU,爱,Repelled,0.34,0.00,Repelled,Yes,2,Stimulus,Psych,Correct,Correct
JDX_KR,W,NNS1,KR,KR,关照,Attracted,0.14,0.00,Repelled,No,5,Target,Social,Correct,Correct
XSL_CM,S,NNS1,CM,EN,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
EMILIO_MX,S,NNS1,MX,ES,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
HSYI_BI,S,NNS1,BI,Other,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
KK_TR,S,NNS1,TR,TK,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
KK_TR,S,NNS1,TR,TK,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
PSB_KR,S,NNS1,KR,KR,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
DBY_VN,W,NNS1,VN,VN,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
LZLA_CD,W,NNS1,CD,FR,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
KLL_CM,W,NNS1,CM,EN,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
RSHF_VN,W,NNS1,VN,VN,好,Repelled,1.20,5.56,Repelled,Yes,1,Target,Manner,Correct,Correct
DSQC_VN,S,NNS1,VN,VN,感,Attracted,1.84,53.75,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
JCXU_KR,S,NNS1,KR,KR,感,Attracted,1.84,53.75,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
KLL_CM,S,NNS1,CM,EN,感,Attracted,1.84,53.75,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
LINA_CO,S,NNS1,CO,ES,感,Attracted,1.84,53.75,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
PSX_KR,S,NNS1,KR,KR,感,Attracted,1.84,53.75,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
ABU_KG,S,NNS1,KG,TK,感,Attracted,1.84,53.75,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
ALM_TG,S,NNS1,TG,EN,感,Attracted,1.84,53.75,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
FLS_SY,S,NNS1,SY,AR,感,Attracted,1.84,53.75,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
WS_CM,S,NNS1,CM,EN,感,Attracted,1.84,53.75,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
XSE_ES,S,NNS1,ES,ES,感,Attracted,1.84,53.75,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
ZSZ_KR,S,NNS1,KR,KR,感,Attracted,1.84,53.75,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
ST_MG,W,NNS1,MG,Other,感,Attracted,1.84,53.75,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
DSQC_VN,W,NNS1,VN,VN,感,Attracted,1.84,53.75,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
AHA_YE,W,NNS1,YE,AR,感,Attracted,1.84,53.75,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
MWH_VE,W,NNS1,VE,ES,有,Attracted,39.77,61.17,Attracted,Yes,1,Theme,Functional,Correct,Correct
ST_BE,S,NNS1,BE,Other,有,Attracted,4.49,77.85,Attracted,Yes,1,Stimulus,Functional,Correct,Correct
JWQ_KR,S,NNS1,KR,KR,满意,Attracted,2.71,25.95,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
GH_VN,W,NNS1,VN,VN,满意,Attracted,2.71,25.95,Attracted,Yes,2,Stimulus,Psych,Correct,Correct
LMN_TH,W,NNS1,TH,TH,热情,Attracted,0.16,5.56,Attracted,Yes,2,Target,Manner,Correct,Correct
JAN_RU,W,NNS1,RU,RU,热衷,Attracted,0.13,0.00,Repelled,No,6,Stimulus,Psych,Error,collocation_error
ND_TG,W,NNS1,TG,EN,熟悉,Attracted,1.98,5.56,Attracted,Yes,3,Theme,Psych,Correct,Correct
YJG_RU,S,NNS1,RU,RU,爱,Repelled,0.34,0.00,Repelled,Yes,2,Stimulus,Psych,Correct,Correct
AYO_TG,S,NNS1,TG,EN,理解,Attracted,0.65,16.68,Repelled,No,3,Theme,Psych,Error,collocation_error
CMX_VN,S,NNS1,VN,VN,一样,Repelled,0.21,0.00,Repelled,Yes,2,Concerned,Attribute,Error,preposition_misuse
LZJ_KR,W,NNS1,KR,KR,给以,Attracted,0.17,1.85,Attracted,Yes,6,Target,Functional,Correct,Correct
MJS_KH,S,NNS1,KH,Other,说,Attracted,105.53,385.55,Attracted,No,1,Target,Communication,Correct,Correct
JZY_KR,S,NNS1,KR,KR,聊天,Repelled,0.00,0.00,Repelled,No,2,Companion,Communication,Error,preposition_misuse
ST_MG,S,NNS1,MG,Other,说,Attracted,105.53,385.55,Attracted,No,1,Target,Communication,Correct,Correct
ST_MG,S,NNS1,MG,Other,说,Attracted,105.53,385.55,Attracted,No,1,Target,Communication,Correct,Correct
BAD_YE,S,NNS1,YE,AR,说,Attracted,105.53,385.55,Attracted,No,1,Target,Communication,Correct,Correct
KL_KZ,S,NNS1,KZ,TK,说,Attracted,105.53,385.55,Attracted,No,1,Target,Communication,Correct,Correct
LMN_TH,S,NNS1,TH,TH,说,Attracted,105.53,385.55,Attracted,No,1,Target,Communication,Correct,Correct
LMN_TH,S,NNS1,TH,TH,说,Attracted,105.53,385.55,Attracted,No,1,Target,Communication,Correct,Correct
YJG_RU,S,NNS1,RU,RU,说,Attracted,105.53,385.55,Attracted,No,1,Target,Communication,Correct,Correct
YJG_RU,S,NNS1,RU,RU,说,Attracted,105.53,385.55,Attracted,No,1,Target,Communication,Correct,Correct
YJG_RU,S,NNS1,RU,RU,说,Attracted,105.53,385.55,Attracted,No,1,Target,Communication,Correct,Correct
YJG_RU,S,NNS1,RU,RU,说,Attracted,105.53,385.55,Attracted,No,1,Target,Communication,Correct,Correct
YRS_KR,W,NNS1,KR,KR,说,Attracted,105.53,385.55,Attracted,No,1,Target,Communication,Error,word_order
ST_MG,W,NNS1,MG,Other,说,Attracted,105.53,385.55,Attracted,No,1,Target,Communication,Correct,Correct
LFD_ID,W,NNS1,ID,Other,说,Attracted,105.53,385.55,Attracted,No,1,Target,Communication,Correct,Correct
LJL_MG,W,NNS1,MG,Other,说,Attracted,105.53,385.55,Attracted,No,1,Target,Communication,Correct,Correct
LJL_MG,W,NNS1,MG,Other,说,Attracted,105.53,385.55,Attracted,No,1,Target,Communication,Correct,Correct
WL_MG,W,NNS1,MG,Other,说,Attracted,105.53,385.55,Attracted,No,1,Target,Communication,Correct,Correct
KP_RU,W,NNS1,RU,RU,说,Attracted,105.53,385.55,Attracted,No,1,Target,Communication,Correct,Correct
SHL_TH,W,NNS1,TH,TH,说,Attracted,105.53,385.55,Attracted,No,1,Target,Communication,Correct,Correct
ZLE_KR,S,NNS1,KR,KR,说明,Attracted,0.75,0.00,Repelled,No,3,Target,Communication,Correct,Correct
JJXH_JP,W,NNS1,JP,JP,说,Attracted,105.53,385.55,Attracted,No,1,Companion,Communication,Error,preposition_misuse
YRS_KR,W,NNS1,KR,KR,问,Repelled,0.30,0.00,Repelled,No,1,Companion,Communication,Error,preposition_misuse
BYL_BR,W,NNS1,BR,PT,行凶,Attracted,0.03,0.00,Repelled,Yes,3,Target,Physical,Correct,Correct
CZJ_KR,W,NNS2,KR,KR,*,Attracted,19.49,87.12,Attracted,*,1,Concerned,Functional,Error,omission
SSXI_KR,W,NNS2,KR,KR,*,Attracted,6.62,18.54,Repelled,*,1,Concerned,Functional,Error,omission
WUYM_CR,W,NNS2,CR,ES,*,Attracted,19.49,87.12,Attracted,*,1,Concerned,Functional,Error,omission
SZYI_KR,W,NNS2,KR,KR,*,Attracted,6.62,18.54,Repelled,*,1,Concerned,Functional,Error,omission
JRY_KR,W,NNS2,KR,KR,*,Attracted,6.62,18.54,Repelled,*,1,Concerned,Functional,Error,omission
HZJ_KR,W,NNS2,KR,KR,*,Repelled,0.21,0.00,Repelled,*,3,Target,Functional,Error,omission
JHXU_KR,W,NNS2,KR,KR,不好意思,Repelled,0.01,0.00,Repelled,No,6,Stimulus,Psych,Error,collocation_error
LDYI_KR,W,NNS2,KR,KR,不好意思,Repelled,0.01,0.00,Repelled,No,6,Stimulus,Psych,Error,collocation_error
JDYI_KR+I_,S,NNS2,KR,KR,产生,Attracted,4.05,9.27,Attracted,Yes,4,Experiencer,Functional,Error,preposition_misuse
GDX_KR,S,NNS2,KR,KR,介绍,Attracted,0.32,0.00,Repelled,No,1,Theme,Communication,Error,collocation_error
EI_RU,W,NNS2,RU,RU,介绍,Attracted,0.32,0.00,Repelled,No,1,Target,Communication,Error,preposition_misuse
XX_TH,W,NNS2,TH,TH,伤心,Repelled,0.02,0.00,Repelled,No,3,Stimulus,Psych,Error,collocation_error
SSXI_KR,W,NNS2,KR,KR,伤心,Repelled,0.02,0.00,Repelled,No,3,Stimulus,Psych,Error,collocation_error
JA_KR,S,NNS2,KR,KR,健康,Repelled,0,0,Repelled,No,2,Concerned,Attribute,Error,collocation_error
LMN_TH,W,NNS2,TH,TH,健康,Repelled,0,0,Repelled,No,2,Concerned,Attribute,Error,collocation_error
QSY_KR,W,NNS2,KR,KR,印象,Repelled,0.04,1.85,Attracted,No,3,Experiencer,Psych,Error,preposition_misuse
LLS_TH,W,NNS2,TH,TH,发生,Attracted,0.23,1.85,Attracted,No,3,Experiencer,Functional,Error,preposition_misuse
LLS_TH,W,NNS2,TH,TH,发生,Attracted,0.23,1.85,Attracted,No,3,Experiencer,Functional,Error,preposition_misuse
CAMLG_TH,W,NNS2,TH,TH,受,Repelled,0.00,0.00,Repelled,No,6,Theme,Functional,Error,preposition_misuse
AHA_ID,S,NNS2,ID,Other,听,Repelled,0.14,0.00,Repelled,No,1,Concerned,Physical,Error,preposition_misuse
NSJP_RU,S,NNS2,RU,RU,可靠,Repelled,0.00,0.00,Repelled,No,4,Concerned,Attribute,Error,collocation_error
MHMAD_TJ,W,NNS2,TJ,Other,同意,Repelled,0.04,0.00,Repelled,No,2,Theme,Psych,Error,collocation_error
XSM_KR,S,NNS2,KR,KR,告诉,Repelled,0.00,0.00,Repelled,No,1,Target,Communication,Error,collocation_error
JHXI_KR,W,NNS2,KR,KR,告诉,Repelled,0.00,0.00,Repelled,No,1,Target,Communication,Error,collocation_error
GKA_TH,W,NNS2,TH,TH,喜欢,Repelled,0.30,1.85,Repelled,Yes,1,Stimulus,Psych,Error,word_order
LWL_ID,W,NNS2,ID,Other,多,Repelled,0.09,3.71,Repelled,No,1,Concerned,Attribute,Error,preposition_misuse
JZXU_KR,W,NNS2,KR,KR,套近乎,Attracted,0.00,0.00,N/A,No,6,Companion,Social,Error,preposition_misuse
BJM_AO,W,NNS2,AO,PT,好,Repelled,0.02,0.00,Repelled,Yes,1,Theme,Attribute,Error,preposition_misuse
JZNA_KR,W,NNS2,KR,KR,好,Repelled,0.02,0.00,Repelled,Yes,1,Concerned,Attribute,Error,preposition_misuse
JZUE_KR,W,NNS2,KR,KR,*,Attracted,6.62,18.54,Repelled,*,1,Concerned,Functional,Error,omission
WDLY_RU,W,NNS2,RU,RU,*,Attracted,6.62,18.54,Repelled,*,1,Concerned,Functional,Error,omission
YR_ES,W,NNS2,ES,ES,感谢,Attracted,0.02,0.00,Repelled,No,3,Reason,Psych,Error,preposition_misuse
LZSA_KR,W,NNS2,KR,KR,对不起,Repelled,0.00,0.00,N/A,No,1,Target,Communication,Error,collocation_error
PML_CG,W,NNS2,CG,FR,小心翼翼,Repelled,0.01,0.00,N/A,Yes,5,Target,Manner,Error,collocation_error
MLY_RU,S,NNS2,RU,RU,带来,Attracted,1.35,0.00,Repelled,No,6,Target,Functional,Correct,Correct
MLY_RU,S,NNS2,RU,RU,带来,Attracted,1.35,0.00,Repelled,No,6,Target,Functional,Correct,Correct
MLY_RU,S,NNS2,RU,RU,带来,Attracted,1.35,0.00,Repelled,No,6,Target,Functional,Correct,Correct
LHYI_VN,W,NNS2,VN,VN,开心,Repelled,0.01,0.00,Repelled,No,3,Stimulus,Psych,Error,preposition_misuse
NJ_RU,W,NNS2,RU,RU,开心,Repelled,0.01,0.00,Repelled,No,3,Concerned,Psych,Error,preposition_misuse
JZHX_KR,W,NNS2,KR,KR,影响,Attracted,1.22,11.12,Attracted,Yes,2,Concerned,Functional,Error,preposition_misuse
HNN_PE,W,NNS2,PE,ES,辣,Repelled,0.00,0.00,Repelled,No,3,Concerned,Attribute,Error,preposition_misuse
MX_CS,W,NNS2,CS,Other,舒服,Repelled,0.01,0.00,Repelled,No,2,Concerned,Attribute,Error,preposition_misuse
CAMLG_TH,W,NNS2,TH,TH,快乐,Repelled,0.00,0.00,Repelled,No,1,Stimulus,Psych,Error,collocation_error
CZJ_KR,W,NNS2,KR,KR,怕,Attracted,0.16,0.00,Repelled,No,1,Concerned,Psych,Error,preposition_misuse
DLYH_RU,S,NNS2,RU,RU,感,Attracted,1.84,53.75,Attracted,Yes,2,Concerned,Psych,Error,preposition_misuse
HHC_KR,W,NNS2,KR,KR,感到,Attracted,11.04,5.56,Repelled,Yes,2,Stimulus,Psych,Error,collocation_error
JXJ_KR,W,NNS2,KR,KR,感谢,Attracted,0.02,0.00,Repelled,Yes,3,Stimulus,Psych,Correct,Correct
JXJ_KR,W,NNS2,KR,KR,感谢,Attracted,0.02,0.00,Repelled,Yes,3,Stimulus,Psych,Correct,Correct
TKLS_JP,W,NNS2,JP,JP,感谢,Attracted,0.02,0.00,Repelled,Yes,3,Stimulus,Psych,Correct,Correct
NS_ML,S,NNS2,ML,FR,愿意,Repelled,0.01,0.00,Repelled,No,2,Companion,Psych,Error,preposition_misuse
HLM_KR,W,NNS2,KR,KR,成为,Repelled,0.03,0.00,Repelled,No,3,Concerned,Functional,Error,preposition_misuse
QZY_KR,W,NNS2,KR,KR,打,Repelled,0.00,0.00,Repelled,No,1,Beneficiary,Communication,Error,preposition_misuse
YY_KR,W,NNS2,KR,KR,推荐,Repelled,0.03,0.00,Repelled,No,4,Beneficiary,Communication,Error,preposition_misuse
YTQZ_JP,W,NNS2,JP,JP,教,Repelled,0.01,0.00,Repelled,No,2,Target,Social,Error,collocation_error
ZJJ_KR,W,NNS2,KR,KR,教,Repelled,0.01,0.00,Repelled,No,2,Target,Social,Error,collocation_error
YTHZ_JP,W,NNS2,JP,JP,教,Repelled,0.01,0.00,Repelled,No,2,Target,Social,Error,collocation_error
YTHZ_JP,W,NNS2,JP,JP,教,Repelled,0.01,0.00,Repelled,No,2,Target,Social,Error,collocation_error
