ID,Mode,Proficiency,L1,Verb,Native_COLL,Native,Textbook,Reliability,Accessibility,Functions,Semantics,Textbook_COLL
AF_TG,S,NNS1,EN,感,Attracted,1.84,53.75,Yes,2,Stimulus,Psych,Attracted
LX_RU,W,NNS1,RU,了解,Attracted,3.19,12.98,Yes,2,Theme,Psych,Attracted
JAN_RU,S,NNS1,RU,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
AILAN_PK,S,NNS1,Other,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
AXH_UZ,S,NNS1,TK,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
LMN_TH,S,NNS1,TH,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
AIML_KZ,W,NNS1,TK,好,Repelled,0.02,0.00,Yes,1,Concerned,Attribute,Repelled
XY_UZ,W,NNS1,TK,影响,Attracted,1.22,11.12,Yes,2,Concerned,Functional,Attracted
MWH_VE,W,NNS1,ES,有,Attracted,19.49,87.12,Yes,1,Concerned,Functional,Attracted
DAN_PE,W,NNS1,ES,有,Attracted,19.49,87.12,Yes,1,Concerned,Functional,Attracted
LBI_TG,W,NNS1,EN,有,Attracted,19.49,87.12,Yes,1,Concerned,Functional,Attracted
JMJ_KR,S,NNS1,KR,起,Attracted,4.87,3.71,Yes,6,Concerned,Functional,Attracted
XPP_TH,S,NNS1,TH,一样,Repelled,0.21,0.00,Yes,2,Recipient,Manner,Repelled
RYS_VN,W,NNS1,VN,一样,Repelled,0.21,0.00,Yes,2,Recipient,Manner,Repelled
JMJ_KR,S,NNS1,KR,习惯,Repelled,0.22,1.85,Yes,2,Stimulus,Psych,Attracted
ZZX_KR,W,NNS1,KR,习惯,Repelled,0.22,1.85,Yes,2,Stimulus,Psych,Attracted
OLY_RU,W,NNS1,RU,习惯,Repelled,0.22,1.85,Yes,2,Stimulus,Psych,Attracted
OMLI_TH,W,NNS1,TH,习惯,Repelled,0.22,1.85,Yes,2,Stimulus,Psych,Attracted
JAN_RU,S,NNS1,RU,了解,Attracted,3.19,12.98,Yes,2,Theme,Psych,Attracted
JXJ_KR,S,NNS1,KR,了解,Attracted,3.19,12.98,Yes,2,Theme,Psych,Attracted
LT_ES,S,NNS1,ES,了解,Attracted,3.19,12.98,Yes,2,Theme,Psych,Attracted
LX_RU,S,NNS1,RU,了解,Attracted,3.19,12.98,Yes,2,Theme,Psych,Attracted
HA_ES,S,NNS1,ES,了解,Attracted,3.19,12.98,Yes,2,Theme,Psych,Attracted
LZJ_KR,S,NNS1,KR,了解,Attracted,3.19,12.98,Yes,2,Theme,Psych,Attracted
PSB_KR,S,NNS1,KR,了解,Attracted,3.19,12.98,Yes,2,Theme,Psych,Attracted
RFM_VN,S,NNS1,VN,亲切,Attracted,0.08,1.85,Yes,4,Recipient,Manner,Attracted
YJG_RU,S,NNS1,RU,爱,Repelled,0.34,0.00,Yes,2,Stimulus,Psych,Repelled
JDX_KR,W,NNS1,KR,关照,Attracted,0.14,0.00,No,5,Target,Social,Repelled
XSL_CM,S,NNS1,EN,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
EMILIO_MX,S,NNS1,ES,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
HSYI_BI,S,NNS1,Other,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
KK_TR,S,NNS1,TK,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
KK_TR,S,NNS1,TK,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
PSB_KR,S,NNS1,KR,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
DBY_VN,W,NNS1,VN,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
LZLA_CD,W,NNS1,FR,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
KLL_CM,W,NNS1,EN,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
RSHF_VN,W,NNS1,VN,好,Repelled,1.20,5.56,Yes,1,Recipient,Manner,Repelled
DSQC_VN,S,NNS1,VN,感,Attracted,1.84,53.75,Yes,2,Stimulus,Psych,Attracted
JCXU_KR,S,NNS1,KR,感,Attracted,1.84,53.75,Yes,2,Stimulus,Psych,Attracted
KLL_CM,S,NNS1,EN,感,Attracted,1.84,53.75,Yes,2,Stimulus,Psych,Attracted
LINA_CO,S,NNS1,ES,感,Attracted,1.84,53.75,Yes,2,Stimulus,Psych,Attracted
PSX_KR,S,NNS1,KR,感,Attracted,1.84,53.75,Yes,2,Stimulus,Psych,Attracted
ABU_KG,S,NNS1,TK,感,Attracted,1.84,53.75,Yes,2,Stimulus,Psych,Attracted
ALM_TG,S,NNS1,EN,感,Attracted,1.84,53.75,Yes,2,Stimulus,Psych,Attracted
FLS_SY,S,NNS1,AR,感,Attracted,1.84,53.75,Yes,2,Stimulus,Psych,Attracted
WS_CM,S,NNS1,EN,感,Attracted,1.84,53.75,Yes,2,Stimulus,Psych,Attracted
XSE_ES,S,NNS1,ES,感,Attracted,1.84,53.75,Yes,2,Stimulus,Psych,Attracted
ZSZ_KR,S,NNS1,KR,感,Attracted,1.84,53.75,Yes,2,Stimulus,Psych,Attracted
ST_MG,W,NNS1,Other,感,Attracted,1.84,53.75,Yes,2,Stimulus,Psych,Attracted
DSQC_VN,W,NNS1,VN,感,Attracted,1.84,53.75,Yes,2,Stimulus,Psych,Attracted
AHA_YE,W,NNS1,AR,感,Attracted,1.84,53.75,Yes,2,Stimulus,Psych,Attracted
MWH_VE,W,NNS1,ES,有,Attracted,39.77,61.17,Yes,1,Theme,Functional,Attracted
ST_BE,S,NNS1,Other,有,Attracted,4.49,77.85,Yes,1,Stimulus,Functional,Attracted
JWQ_KR,S,NNS1,KR,满意,Attracted,2.71,25.95,Yes,2,Stimulus,Psych,Attracted
GH_VN,W,NNS1,VN,满意,Attracted,2.71,25.95,Yes,2,Stimulus,Psych,Attracted
LMN_TH,W,NNS1,TH,热情,Attracted,0.16,5.56,Yes,2,Recipient,Manner,Attracted
ND_TG,W,NNS1,EN,熟悉,Attracted,1.98,5.56,Yes,3,Theme,Psych,Attracted
YJG_RU,S,NNS1,RU,爱,Repelled,0.34,0.00,Yes,2,Stimulus,Psych,Repelled
LZJ_KR,W,NNS1,KR,给以,Attracted,0.17,1.85,Yes,6,Target,Functional,Attracted
MJS_KH,S,NNS1,Other,说,Attracted,105.53,385.55,No,1,Target,Communication,Attracted
ST_MG,S,NNS1,Other,说,Attracted,105.53,385.55,No,1,Target,Communication,Attracted
ST_MG,S,NNS1,Other,说,Attracted,105.53,385.55,No,1,Target,Communication,Attracted
BAD_YE,S,NNS1,AR,说,Attracted,105.53,385.55,No,1,Target,Communication,Attracted
KL_KZ,S,NNS1,TK,说,Attracted,105.53,385.55,No,1,Target,Communication,Attracted
LMN_TH,S,NNS1,TH,说,Attracted,105.53,385.55,No,1,Target,Communication,Attracted
LMN_TH,S,NNS1,TH,说,Attracted,105.53,385.55,No,1,Target,Communication,Attracted
YJG_RU,S,NNS1,RU,说,Attracted,105.53,385.55,No,1,Target,Communication,Attracted
YJG_RU,S,NNS1,RU,说,Attracted,105.53,385.55,No,1,Target,Communication,Attracted
YJG_RU,S,NNS1,RU,说,Attracted,105.53,385.55,No,1,Target,Communication,Attracted
YJG_RU,S,NNS1,RU,说,Attracted,105.53,385.55,No,1,Target,Communication,Attracted
ST_MG,W,NNS1,Other,说,Attracted,105.53,385.55,No,1,Target,Communication,Attracted
LFD_ID,W,NNS1,Other,说,Attracted,105.53,385.55,No,1,Target,Communication,Attracted
LJL_MG,W,NNS1,Other,说,Attracted,105.53,385.55,No,1,Target,Communication,Attracted
LJL_MG,W,NNS1,Other,说,Attracted,105.53,385.55,No,1,Target,Communication,Attracted
WL_MG,W,NNS1,Other,说,Attracted,105.53,385.55,No,1,Target,Communication,Attracted
KP_RU,W,NNS1,RU,说,Attracted,105.53,385.55,No,1,Target,Communication,Attracted
SHL_TH,W,NNS1,TH,说,Attracted,105.53,385.55,No,1,Target,Communication,Attracted
ZLE_KR,S,NNS1,KR,说明,Attracted,0.75,0.00,No,3,Target,Communication,Repelled
