只剩着黑狗还在【对】着桑树 嗥 ,老尼姑念着佛。
第二个【对】着梦中的玫瑰无可奈何地 叹 着气;
【对】一个孩子 说话 ,缺少应有的关切爱抚的表示,那能够说是得体的吗?
主张人应该【对】天下万物 有 爱心,对鸟兽草木采取友好爱护的态度;
一句“慢点儿”,不仅有做事要认真负责的意思,同时还包含着【对】别人由衷地 关心和爱护 。
公婆【对】她无微不至的 关怀和爱护 使她的顾虑消失了。
老牧人真想走过去暗暗【对】儿媳妇 吩咐 一声,
【对】大哥讲的诸事安排,准确无误地 以 点头、摇头置可否,旋即昏迷。
泰戈尔【对】孩子非常 亲切 、平等,从不摆校长的架子。
父亲昨天【对】我 说 后天就搬过去。
我只是激动地【对】她 说 :“非常感谢您的帮忙,那一天,要不是换了衣服,我一出门就会被捕的。
我预料国外这几年,【对】你整个的人也 有 很大的帮助。
了解了二十四节气的含义,【对】你的日常生活会 有 一定帮助。
讽诫谚是【对】人们 进行 道德教育,帮助人们树立正确的是非观念和良好品德的谚语。
特别是母亲的教育,【对】他 影响 很大,
母亲要求他多观察、多动脑筋,还要他认真地学习外语,这【对】他一生的事业都 有 很大的帮助。
我听说学中文【对】找工作很 有 帮助。
丁力波:这儿的老师教得特别认真,朋友们【对】我们也非常 热情 ,
以前,由于西方医学界对中医所知甚少,很多人【对】它 保持 怀疑态度。
我为有你这样的丈夫感到自豪,也更觉得对不起你,不该【对】你 保密 。
两年后,三妹被保送高中,母亲【对】她 说 :“保送就是高看一眼,还能牵着不走,打着倒退?
悲观论者则【对】人的道德能力不 抱 信心。
我心中始终【对】你 抱 着歉意。
我一边给她检查,一边问,我【对】身体健康的长寿老人一向 抱有 好奇心。
即使是【对】那些与人类遗传关系极近的动物,比如猩猩、猴子等,也很少 有 兄弟一样的感觉,更不可能像对待兄弟那样对待它们。
养父母【对】我很 好 ,我也因此特别大学毕业后,我进了一家外资企业。
今天的老百姓,【对】花钱变得格外 谨慎 ,尽管“拉动消费”、“扩大内需”的口号喊得声嘶力竭,政府七次降息,后来又开征了利息税,然而,老百姓仍是“心动”而无行动,照样存钱。
人到了老年,【对】音乐的选择变得十分 挑剔 。
乙:如果人人都像你这样【对】穷人没 有 一点儿同情,这个社会一定会变得非常残酷。
他【对】我 说 :“儿子,汽车常变,人不会变。
我【对】父亲 说 :“你猜不中的,也变不出来,这回得靠我自己。”
这样多的灰尘在空中旅行,【对】象变化 产生 了很大影响。
子不嫌母丑,【对】越来越多的人 有 变为谬论的可能。
管理处了解情况后,马上【对】我们反映情况 表示 感谢,指示我们拒付车费,并且要给司机处分。
开始时,他们【对】我们想和他们共进午餐并没 有 什么表示,显得有些冷淡。
我立刻【对】他的不幸 表示 慰问。
大内和金汉成【对】大夫和护士 表示 感谢。
校长首先【对】新同学 表示 热烈欢迎,接着介绍了学校的办学情况。
原告【对】法院的判决 不服 ,表示要向市中级人民法院提出上诉。“
不少人跑来【对】我 表示 祝贺,我只能有气无力地支吾一下。
有【对】孩子行为 表示 赞成,称赞孩子聪明,长大了不会吃亏的;
萍:(不得已地)我想,我很明白地【对】你 表示 过。
有几位教师,是曾经参加过同盟会的,我们都特别【对】他们 表示 敬仰。
又【对】绘画 表现 更广大的生活空间、表现时间过程、表现心理活动和声音形象等带来了一定的局限性。
相反,不谦逊,很不客气,哪怕自己确实做了一点有成绩的事情,不论【对】谁, 表现 了不谦逊,不客气,也是一种不得体。
这时候,地球的新主人猩猩【对】他们 进行 捕杀,就像我们人类现在对猩猩及其他动物所做的一样。
他【对】那人 说 :“艺术是不能用金钱收买的,你走吧。”
不过我想,这【对】我也 是 个锻炼,一个人总不能守着父母过一辈子,总得自立,想到这儿,心情就好一点儿。
照片上的这些黑色颗粒又是什么东西呢【对】此,我们还不能 肯定 ,也许是些金属颗粒。
我【对】少年 说 ,他们也许不会来了,可少年固执地摇摇头。
维生素【对】人体健康 作用 巨大,是绝对不能缺少的。
于是就又【对】师傅 说 :“你能不能快点儿啊?”
我在留学生食堂吃饭的时候,认识了一位大师傅,他服务态度很好,【对】我也很 热情 ,可当他见我不会用筷子时也说:“你不是中国人吗?
司马懿笑而不信,亲自骑马来到城前,果然见到诸葛亮坐在城楼上弹琴自娱,【对】城下的十几万大军 视若不见 。
水牛只得了第二名,他瞪着大眼睛【对】着老鼠 叫 个不停,显得很不高兴。
回家后母亲【对】我 说 :“当你接受别人的信任,要帮助别人的时候,就意味着你对别人有了一份责任,咱们一定不能因为没有尽到责任而辜负了别人的信任。”
有一天荷西回来【对】我 说 :“了不得,今天大老板叫我去。”“
先生听到病人已经熬过了反应,人命关天的事平息了,他【对】我 发火 了:“第一,以后不得擅自行医;
【对】怀赤子之心的人,万万 亵渎 不得!
【对】这类产品,人们不会 有 过高的要求,用过一次就扔了。
你会尽量发挥自己的能力,就算你达不到目的,你也不会【对】小王 有 忌妒心,不会讨厌她。
狼见驴跑了,就要吃东郭先生,东郭先生东躲西藏,【对】狼 说 :“我救了你,你不能吃我呀!”
教授放下电话,毫不犹豫地【对】我 说 :“既然这样,你这篇论文不能用。”
人过中年,阅人遇事也算不少了,但【对】老郝叔,我老是不能 忘记 。
但要是你先就【对】它 说 “不”,固执地对它说“不”,它就不能伤害你了。
先生忙【对】儿子 说 :“咱俩不能鹬蚌相争,让你妈渔翁得利。”
繁:你欠了我一笔债,你【对】我 负 着责任,你不能丢下我,就一个人跑。
【对】汉语应该全面 认识 ,不能搞片面化;
漫步在胡同中,客人们【对】着胡同里的建筑不停地 拍照 ;
他用四川话【对】我 说 :“阿姨,要不要石头?
受了老庄哲学影响的人【对】生、死更不 在乎 了,认为一切都是自然的。
电影院按照谢先生的要求事先【对】电影厅 进行 了布置。
让学生从小学会通过劳动获得报酬,这【对】他今后步入社会很 有 好处。”
为了让大家更好地了解孔子,我们的记者跨越了两千多年的历史,【对】孔子 进行 了“采访”。
他们知道人的生命是有限的,而知识是无穷的,因此,【对】新事物 采取 谦虚、谨慎、严肃、认真的态度。
有的人所以先知先觉,使因为他们具有丰富的实践经验,能够认识这是个新事物,【对】它 采取 欢迎、扶植、研究的态度;
一般来讲,西医【对】同样的疾病 采用 同样的治疗方法,
张天明和柯林【对】中国历史也 有 兴趣,听说丽莎要参观博物馆,也要跟她们一起去。
大家【对】桑金兰错同志参加突击队的问题, 有 什么意见?
取出里面的书,【对】狼 说 :“我把你藏在口袋里,你千万不要出声呀!”
我眨巴着眼睛,仰头【对】着那满天的星斗苦苦地 寻找 ,谜底藏在哪里呢?
有一回【对】我 说道 ,“你读过书么?”
虽然【对】自己所犯的一些错误 感到 有点不好意思,
过了半个小时,先生忽然【对】我 说 :“小华,扶我去躺一下。”
拿到了报酬,这位女学生得意地【对】同学 说 :“今后教同学都该这样收钱。”
他【对】这个工作非常 有 兴趣,已经干了六七年了。
一天,他愤怒地【对】朋友 说 :“我们头儿一点也不把我放在眼里,改天我要对他拍桌子,然后辞职不干你对你们公司完全弄清楚了吗?
这两个星期来,他居然【对】我过去的“历史”也开始 感兴趣 了。
这50名女大学生中,只有两位表示【对】过生日不特别 感兴趣 。
安娜:我【对】中国工人的生活情况很 感兴趣 ,我能问您几个问题吗?
可是,老人【对】这些似乎都不 感兴趣 ,谁也不知道他想买什么菜。
小高【对】中国文化很 感兴趣 ,又能说地道的中文,他可能比很多中国人还中国呢!
而【对】大家可能更 感兴趣 的是,演员都来自我国西藏的青年男女,它是今年全国演出的六个莎剧之一。
马力:我【对】运动不 感兴趣 。
我刚来美国的时候,也【对】什么都很 感兴趣 。
我到边远地区看傩戏,【对】许多内容不 感兴趣 ,特别使我愉快的是,傩戏中的水神河伯,换成了灌县李冰。
麦克:我跟你不一样,我【对】中国改革开放以后的事儿更 感兴趣 。
玛丽:不.我只是【对】老北京的一切都 感兴趣 。
李一巧手特别巧,【对】做东西、修东西特别 感兴趣 。
熊英:看来方华【对】中国很 感兴趣 。
我从小就【对】文学 感兴趣 ,想当作家,但是我爸妈跟美英的父母一样,认为那根本没有前途、没有“好处”。
我【对】云南少数民族的风俗很 感兴趣 ,要是有机会一定去看看。
我【对】汉字输入特别 感兴趣 。
田中:我来中国以前就【对】书法 感兴趣 ,公司派我来中国,我非常高兴。
李军:我【对】中国古代历史很 感兴趣 ,想考张大朋教授的。
李彬一直在翻一本画报,似乎【对】这场争论不 感兴趣 ,这时却忽然扔下画报说道:“我看并不那么简单。
他们为什么【对】别人的私事这么 感兴趣 ?
你【对】中国文化这么 感兴趣 ,我建议你去看看。
不仅少年儿童喜欢它,而且成年人【对】它也很 感兴趣 。
他为什么会【对】我的火车这么 感兴趣 ?
你为什么【对】中国生产的电脑 感兴趣 ?
从报上我看到贵行正在招聘实习生,我【对】此工作十分 感兴趣 。
我一直【对】银行业十分 感兴趣 。
不过他【对】小说不 感兴趣 ,也不爱听音乐。
感到自己像个外人,很难进人当地人的交际圈,【对】自己一点信心也没 有 ,以至不敢和人打交道;*
在学习上一向自信的我,经历了这次沉重的打击后,【对】自己再也不敢 有 太多的自信了。
一天晚上,有位白胡子老爷爷走来【对】他 说 :“马良,我送给你一支笔,去给穷人画画儿吧!”
但考虑到你当时刚刚开始治学,一定要【对】你 严格 ,所以我就把那篇论文给撤了下来,
他会像以往一样【对】这件事 给以 充分的调侃,但此时的周健却非常急于见到这个被描述的女人。
足有十分钟,他才果断地【对】我 说 ,“攻结泄热。”
张老师就【对】书法 有 研究,她家里还挂着她自己写的对联。
重压之下的徐力感到母亲【对】自己 管 得太严,而且为无法实现母亲提出的目标而深深感到委屈和压抑。
人【对】自己演惯了的角色,如果有一天突然发生转变,总会或多或少有点儿不 适应 。
我【对】邹七嫂 说 过了。
回到办公室,我【对】父亲 说 :“电话打过了。
放学后,还可以在网上【对】已经学过的课文 进行 复习,巩固学过的课文内容。
一定要记住,【对】这样的坏东西 仁慈 ,就会害了自己。”
他最后一个上了车,站在售票员常站的位子上,【对】司机 喊 了一声:“开车!”
她双眼一瞪,【对】我 吼道 :“你骑车也不小心一点儿,这次没摔着算你走运!”
但不要刻骨铭心的伤害自己,而要像【对】着古战场一般的 存 着凭吊的心怀。
中年农民答:不,农民【对】驴还是很 有 感情的,甚至比对马还有感情;
这让我觉得他【对】我还是 真心 的。
大内:看不出来,你【对】中国茶还 有 点儿研究呢。
不过,因为【对】一切都很 满意 ,所以你可能会有点胖。
另一方面,一些人指出生命只有一次,【对】重症和绝症病人 放弃 治疗,才是不尊重生命的表现,而且不利于医学的发展。
【对】安乐死 持 反对态度的人,多是患者的家属。
于是,他【对】两个骗子 说 ,他很喜欢这种布,用这种布做的衣服一定很好看。
于是,他回去【对】皇帝 说 :“皇上,我从来没见过那么漂亮的布,您一定会喜欢的。”
这时,汉子【对】儿子 说 :“我老了,你替我上天走一趟吧。
手术前,医生含糊地【对】她 说 :“万一不好……”
这里每年一届的音乐节,无论是对艺术家还是【对】华尔兹,都 有 着重大的影响。
猫妈妈【对】小猫 说 :“我们今天去钓鱼,好吗?”
没关系,我【对】养宠物没 有 兴趣,什么宠物都不养。
如调查中已有相当一部分学生【对】婚前性行为 持 宽容和认可的态度。
从发生婚前性行为的大学生日益增多的现状来看,出现这一现象的主要原因是因为缺少性健康教育,【对】婚前性行为后果的严重性 缺少 认识。
最近,北京医科大学公共卫生部【对】北京市五所高校1310名在校本科大学生 进行 了性观念的调查,其中,男生占63%,平均年龄20岁。
在【对】大学生性行为 调查 中,27.7%的男生和34.4%的女生表示目前他们有稳定的恋人,有过婚前性行为的,男生15%,女生13%。
【对】怀孕以后孩子的去留问题应该是双方共同 协商 后决定的。
我国现行的法律中,【对】男性是否 有 生育权没有任何规定。
乙:美国人喜欢打官司,表示美国是个法治的社会,大家【对】司法制度 有 信心,相信打官司可以得到公平合理的解决。
那老头子【对】唐僧 说 :“他打死我的老婆和女儿,现在又要打我,我这条老命也不要了,索性和他拼了吧!”
小马儿【对】着包子 点 了点头,吸溜了一下鼻子:“爷爷吃三个吧,剩下都是我的。
掌柜的【对】着他耳朵 说 。
高兴似的【对】四婶 说 ,自己已经在土地庙捐了门槛了。
而且仍然是卫老婆子领着,显出慈悲模样,絮絮的【对】四婶 说 :
我【对】跳高、跳远、足球、排球或者长跑什么的都很 有 兴趣。
你【对】运动很 有 兴趣吧?
一天,赵平【对】山本 说 :“我是六年前离开家乡的,很想最近回去看一看,不知道你有没有兴趣跟我一起去?
什么【对】我们最 有用 ,我们才进口什么。
从前我【对】对中国历史和中国文学,不但 有 比较大的兴趣,而且想研究历史或者文学。
大海啊,故乡小时候妈妈【对】我 讲 :大海就是我故乡。
熊教授十分爱才,忙【对】这位教师 说 :“如果真是他的话,那就请你写封信,问问他愿意不愿意来清华大学当助理员。”
林荣明点点头,就【对】保姆 说 ,“给我弄点饭吃。”
其中一个停下胡琴,【对】林荣明 笑道 :“这位也是票友了。
他刚刚想【对】妻子 说 自己去唱戏的事,妻子已经火了,却没有嚷,很愤怒地低声说:“你是不是又去找汪玉芳了?”
你怎么敢这样【对】我 说话 ?”
他【对】众猴 说 :“转了一圈,咱们还是早上吃三枚,晚上吃四枚吧。
农夫觉得很有趣,便【对】妻子 说 :“守株待兔真是绝妙的主意,从明天起我就守株待兔了,你每天给我送二至三顿饭就行。
你怎么【对】胡同 产生 兴趣了?
玛丽:学了京剧以后,我就【对】历史 产生 了兴趣。
您知道,我【对】中国传统文化一直很 有 兴趣。
老板【对】我 刮目相看 ,最近更总是让我担当重任,又升官、又加薪,我已经成公司的红人了这是我早就料到的!”
把我吓了一跳,我左右看了看,没有别人啊,肯定是【对】我 说 的。
史工程师【对】妻子 说 :“儿子是去上海读大学,又不是去深山探险,沙漠找矿,不会有什么事的。
就拿爱迪生来说吧,小时候,老师【对】他妈妈 说 :“你的孩子是个弱智儿,我们没有办法教他。”
我要【对】你们 说 :凡是要等到有了图书馆才读书的,有了图书馆也不肯读书。
从前有一首很流行的儿歌《乌鸦歌》,记得歌词是这样的:“乌鸦乌鸦【对】我 叫 ,乌鸦真真孝。
乌鸦老了不能飞,【对】着小鸦 啼 。
她【对】他成长过程中被固定下来的那些时候很 感兴趣 。
他从未用这个爱称叫过她,也未【对】其他人 说起 过,它只存在于他的内心,一只想象的手在不断地抚摸着它的羽毛。
